,Year,Month,Anomaly-Gl,Uncertainty-Gl,Anomaly-NH,Uncertainty-NH,Anomaly-SH,Uncertainty-SH
0,1753,1,-1.264,3.651,,,,
1,1753,2,-1.985,4.124,,,,
2,1753,3,0.279,3.657,,,,
3,1753,4,-1.289,2.167,,,,
4,1753,5,-0.436,2.144,,,,
5,1753,6,-0.679,3.116,,,,
6,1753,7,-0.303,1.732,,,,
7,1753,8,-1.2,1.746,,,,
8,1753,9,-1.625,2.969,,,,
9,1753,10,-0.945,2.411,,,,
10,1753,11,-1.598,2.269,,,,
11,1753,12,-4.333,2.464,,,,
12,1754,1,-1.05,4.127,,,,
13,1754,2,-3.379,4.732,,,,
14,1754,3,-1.974,3.142,,,,
15,1754,4,2.762,2.371,,,,
16,1754,5,0.408,4.797,,,,
17,1754,6,-0.29,3.677,,,,
18,1754,7,0.103,1.438,,,,
19,1754,8,-1.556,1.648,,,,
20,1754,9,-1.968,1.843,,,,
21,1754,10,-0.313,2.723,,,,
22,1754,11,-0.753,2.68,,,,
23,1754,12,-0.568,2.418,,,,
24,1755,1,-1.413,4.563,,,,
25,1755,2,-3.081,3.631,,,,
26,1755,3,-2.392,3.826,,,,
27,1755,4,-0.324,3.702,,,,
28,1755,5,-0.162,2.089,,,,
29,1755,6,0.381,4.935,,,,
30,1755,7,0.725,2.146,,,,
31,1755,8,-1.103,1.643,,,,
32,1755,9,-1.564,1.767,,,,
33,1755,10,1.55,3.469,,,,
34,1755,11,-1.573,3.327,,,,
35,1755,12,-2.458,3.549,,,,
36,1756,1,0.098,2.935,,,,
37,1756,2,1.934,3.871,,,,
38,1756,3,-1.254,4.071,,,,
39,1756,4,0.679,2.301,,,,
40,1756,5,0.621,1.983,,,,
41,1756,6,-0.034,4.009,,,,
42,1756,7,-0.178,1.781,,,,
43,1756,8,-1.186,1.466,,,,
44,1756,9,-0.943,1.94,,,,
45,1756,10,-1.606,2.584,,,,
46,1756,11,-2.583,2.207,,,,
47,1756,12,-3.381,4.517,,,,
48,1757,1,-3.17,3.271,,,,
49,1757,2,0.37,3.867,,,,
50,1757,3,-1.447,3.315,,,,
51,1757,4,-0.427,4.16,,,,
52,1757,5,0.205,3.598,,,,
53,1757,6,1.979,3.737,,,,
54,1757,7,1.98,4.107,,,,
55,1757,8,2.37,3.246,,,,
56,1757,9,1.172,2.291,,,,
57,1757,10,-4.087,3.481,,,,
58,1757,11,-2.458,2.169,,,,
59,1757,12,-3.334,3.878,,,,
60,1758,1,-5.108,5.856,,,,
61,1758,2,-3.652,3.421,,,,
62,1758,3,-2.275,4.059,,,,
63,1758,4,-1.813,3.488,,,,
64,1758,5,-2.909,1.504,,,,
